reagent,trial,log_resid_std,signal_last_mV2,log_trend_corr,n_points
Citricacid,2nd,0.3143979850683743,10.437327251589219,0.9765828870605834,33.0
Citricacid,1st,0.29949074875903764,7.145653582323817,0.9819853306918651,33.0
Citricacid,3rd,0.3068681474195817,13.03598657518888,0.9773637344097895,33.0
NaCl,2nd,0.1138744614612072,27.780569494196282,0.9769552197638991,33.0
NaCl,1st,0.1669387776503484,31.114978607855445,0.9696674597532917,33.0
NaCl,3rd,0.12050885084283201,23.30819847453847,0.983907712174773,33.0
MSG,2nd,0.2237665590641527,223.9882563342825,0.9486594319732267,33.0
MSG,1st,0.2638907272186898,184.05327236989206,0.9270352497033485,33.0
MSG,3rd,0.2744716143952427,373.1273373177848,0.8905225036407456,33.0
Citricacid_ave,ave,0.3069189604156645,10.20632246970064,0.9786439840540794,33.0
MSG_ave,ave,0.25404296689269507,260.3896220073198,0.9220723951057735,33.0
NaCl_ave,ave,0.13377402998479587,27.401248858863397,0.9768434638973212,33.0
